date,machine,shift,planned_time_min,downtime_min,run_time_min,availability,performance,quality,oee,total_parts,good_parts,downtime_reason
2024-01-01,Machine_A,Morning,480,91,389,0.8104166666666667,0.69,0.95,0.5312,726,689,Setup & Changeover
2024-01-01,Machine_A,Afternoon,480,104,376,0.7833333333333333,0.69,0.95,0.5135,871,827,Planned Maintenance
2024-01-01,Machine_A,Night,480,64,416,0.8666666666666667,0.66,0.82,0.469,769,630,Planned Maintenance
2024-01-01,Machine_B,Morning,480,13,467,0.9729166666666667,0.85,0.94,0.7774,1191,1119,Operator Absence
2024-01-01,Machine_B,Afternoon,480,38,442,0.9208333333333333,0.81,0.86,0.6415,1239,1065,Setup & Changeover
2024-01-01,Machine_B,Night,480,99,381,0.79375,0.8,0.86,0.5461,694,596,No Material
2024-01-01,Machine_C,Morning,480,23,457,0.9520833333333333,0.68,0.82,0.5309,1266,1038,Planned Maintenance
2024-01-01,Machine_C,Afternoon,480,43,437,0.9104166666666667,0.93,0.95,0.8044,1006,955,Operator Absence
2024-01-01,Machine_C,Night,480,20,460,0.9583333333333334,0.84,0.97,0.7809,1116,1082,No Material
2024-01-01,Machine_D,Morning,480,83,397,0.8270833333333333,0.72,0.81,0.4824,989,801,No Material
2024-01-01,Machine_D,Afternoon,480,20,460,0.9583333333333334,0.95,0.97,0.8831,952,923,Operator Absence
2024-01-01,Machine_D,Night,480,91,389,0.8104166666666667,0.94,0.83,0.6323,790,655,No Material
2024-01-02,Machine_A,Morning,480,99,381,0.79375,0.98,0.93,0.7234,919,854,Setup & Changeover
2024-01-02,Machine_A,Afternoon,480,78,402,0.8375,0.91,0.83,0.6326,831,689,Planned Maintenance
2024-01-02,Machine_A,Night,480,38,442,0.9208333333333333,0.89,0.97,0.795,1177,1141,Setup & Changeover
2024-01-02,Machine_B,Morning,480,115,365,0.7604166666666666,0.66,0.86,0.4316,694,596,Setup & Changeover
2024-01-02,Machine_B,Afternoon,480,82,398,0.8291666666666667,0.96,0.86,0.6846,988,849,Operator Absence
2024-01-02,Machine_B,Night,480,92,388,0.8083333333333333,0.81,0.85,0.5565,725,616,Planned Maintenance
2024-01-02,Machine_C,Morning,480,78,402,0.8375,0.74,0.92,0.5702,1144,1052,Operator Absence
2024-01-02,Machine_C,Afternoon,480,56,424,0.8833333333333333,0.73,1.0,0.6448,960,960,Mechanical Failure
2024-01-02,Machine_C,Night,480,106,374,0.7791666666666667,0.67,0.82,0.4281,912,747,Operator Absence
2024-01-02,Machine_D,Morning,480,86,394,0.8208333333333333,0.67,0.88,0.484,1179,1037,Planned Maintenance
2024-01-02,Machine_D,Afternoon,480,42,438,0.9125,0.99,0.97,0.8763,664,644,Mechanical Failure
2024-01-02,Machine_D,Night,480,97,383,0.7979166666666667,0.96,0.95,0.7277,1016,965,No Material
2024-01-03,Machine_A,Morning,480,24,456,0.95,0.75,0.83,0.5914,686,569,No Material
2024-01-03,Machine_A,Afternoon,480,74,406,0.8458333333333333,0.92,0.9,0.7004,673,605,No Material
2024-01-03,Machine_A,Night,480,117,363,0.75625,0.87,0.92,0.6053,627,576,Setup & Changeover
2024-01-03,Machine_B,Morning,480,79,401,0.8354166666666667,0.98,0.98,0.8023,1153,1129,Planned Maintenance
2024-01-03,Machine_B,Afternoon,480,51,429,0.89375,0.82,0.82,0.601,877,719,No Material
